st,log.inv.age1
1,10.3010929329855
10A,8.28745860506734
10F,8.8419646833379
11A,7.40347096711102
12F,9.77636527518679
13,9.0495206978348
14,8.82196245231566
15A,7.74402543382696
15BC,7.6946958436991
16F,8.08736528290015
17A,9.1518493076325
17F,7.73499999605157
18C,9.36982082317338
19A,8.18077333508877
19F,8.04219981575111
21,8.0108298657021
22F,7.81758935125443
23A,7.79233790143634
23B,7.29663158030941
23F,8.00869479765176
3,8.42449008821266
31,8.12863886751262
33F,8.45005674981941
34,8.37101596962529
35A,8.55764554875722
35B,7.34108871295713
35F,8.03926200397766
37,8.82787389630756
38,8.85940208557123
4,9.12961253196406
6A/C,7.12888565679297
6B,8.16320942310881
7C,8.12725686163453
7F,10.0315613079895
8,9.0650598110208
9N,9.38169170072446
9V,8.97960462524711
NT,7.25267244555716
